,Z,N,A,half_life,half_life_unit,half_life_type,br_alpha,br_alpha_type,half_life_alpha,half_life_alpha_unit,Q_alpha,Q_alpha_unit
216Po,84,132,216,144,ms,symmetric,100.0,symmetric,144.0,ms,6906.3495,keV
217Po,84,133,217,1.53,s,symmetric,97.5,symmetric,1.5692307692307692,s,6662.1342,keV
218Po,84,134,218,3.097,m,symmetric,99.978,symmetric,3.0976814899277842,m,6114.7544,keV
219Po,84,135,219,10.33,m,symmetric,28.2,symmetric,36.63120567375887,m,5914.1999,keV
220Po,84,136,220,,,,,,,,5329.0,keV
221Po,84,137,221,1.87,m,asymmetric,,,,,5089.0,keV
222Po,84,138,222,2.42,m,asymmetric,,,,,4432.0,keV
223Po,84,139,223,,,,,,,,4034.0,keV
224Po,84,140,224,,,,,,,,3355.0,keV
225Po,84,141,225,,,,,,,,,
226Po,84,142,226,,,,,,,,,
227Po,84,143,227,,,,,,,,,
186Po,84,102,186,28,us,asymmetric,100.0,approximation,28.0,us,8501.1712,keV
187Po,84,103,187,1.4,ms,symmetric,100.0,approximation,1.4,ms,7978.8999,keV
188Po,84,104,188,270,us,symmetric,100.0,approximation,270.0,us,8082.2927,keV
189Po,84,105,189,3.5,ms,symmetric,100.0,symmetric,3.5,ms,7694.2999,keV
190Po,84,106,190,2.45,ms,symmetric,100.0,unreported,2.45,ms,7693.2733,keV
191Po,84,107,191,22,ms,symmetric,100.0,approximation,22.0,ms,7493.3085,keV
192Po,84,108,192,32.2,ms,symmetric,100.0,approximation,32.2,ms,7319.625,keV
193Po,84,109,193,407,ms,symmetric,100.0,approximation,407.0,ms,7093.8012,keV
194Po,84,110,194,392,ms,symmetric,93.0,symmetric,421.505376344086,ms,6987.074,keV
195Po,84,111,195,4.64,s,symmetric,94.0,symmetric,4.9361702127659575,s,6749.673,keV
196Po,84,112,196,5.63,s,symmetric,94.0,symmetric,5.98936170212766,s,6658.1987,keV
197Po,84,113,197,54,s,symmetric,44.0,symmetric,122.72727272727273,s,6411.2605,keV
198Po,84,114,198,1.76,m,symmetric,57.0,symmetric,3.0877192982456143,m,6309.672,keV
199Po,84,115,199,5.5,m,symmetric,7.5,symmetric,73.33333333333334,m,6074.2948,keV
200Po,84,116,200,11.5,m,symmetric,11.3,symmetric,101.76991150442477,m,5981.6352,keV
201Po,84,117,201,15.5,m,symmetric,1.13,symmetric,1371.6814159292037,m,5799.303,keV
202Po,84,118,202,44.6,m,symmetric,1.92,symmetric,2322.916666666667,m,5700.9575,keV
203Po,84,119,203,36.7,m,symmetric,0.11,symmetric,33363.63636363637,m,5495.9999,keV
204Po,84,120,204,3.518,h,symmetric,0.673,symmetric,522.7340267459138,h,5484.8964,keV
193At,85,108,193,28,ms,asymmetric,100.0,approximation,28.0,ms,7572.4246,keV
194At,85,109,194,286,ms,symmetric,100.0,approximation,286.0,ms,7454.4999,keV
191At,85,106,191,1.7,ms,asymmetric,100.0,approximation,1.7,ms,7822.2726,keV
192At,85,107,192,88,ms,symmetric,100.0,limit,88.0,ms,7695.6261,keV
204At,85,119,204,9.2,m,symmetric,3.9,symmetric,235.89743589743588,m,6070.4062,keV
202At,85,117,202,184,s,symmetric,12.0,symmetric,1533.3333333333335,s,6353.8287,keV
203At,85,118,203,7.4,m,symmetric,31.0,symmetric,23.870967741935484,m,6210.0934,keV
200At,85,115,200,43,s,symmetric,53.0,symmetric,81.13207547169812,s,6596.2229,keV
201At,85,116,201,85,s,symmetric,71.0,symmetric,119.71830985915494,s,6472.8382,keV
198At,85,113,198,4.47,s,symmetric,90.0,symmetric,4.966666666666666,s,6889.3574,keV
199At,85,114,199,6.97,s,symmetric,92.0,asymmetric,7.576086956521738,s,6777.2734,keV
196At,85,111,196,377,ms,symmetric,97.5,symmetric,386.6666666666667,ms,7196.4462,keV
197At,85,112,197,388,ms,symmetric,96.1,symmetric,403.7460978147763,ms,7104.3928,keV
195At,85,110,195,309,ms,symmetric,100.0,unreported,309.0,ms,7344.1362,keV
213At,85,128,213,124,ns,symmetric,100.0,symmetric,124.0,ns,9254.1513,keV
214At,85,129,214,558,ns,symmetric,100.0,symmetric,558.0,ns,8987.8374,keV
211At,85,126,211,7.216,h,symmetric,41.78,symmetric,17.271421732886548,h,5982.4474,keV
212At,85,127,212,314,ms,symmetric,100.0,approximation,314.0,ms,7817.0863,keV
209At,85,124,209,5.42,h,symmetric,4.1,symmetric,132.19512195121953,h,5756.8804,keV
210At,85,125,210,8.1,h,symmetric,0.175,symmetric,4628.571428571428,h,5631.1855,keV
207At,85,122,207,1.81,h,symmetric,10.0,approximation,18.099999999999998,h,5872.4955,keV
208At,85,123,208,1.63,h,symmetric,0.55,symmetric,296.3636363636363,h,5751.1098,keV
205At,85,120,205,26.9,m,symmetric,10.0,symmetric,268.99999999999994,m,6019.571,keV
206At,85,121,206,30.5,m,symmetric,0.9,symmetric,3388.8888888888887,m,5886.5504,keV
215At,85,130,215,37,us,symmetric,100.0,unreported,37.0,us,8177.6168,keV
224At,85,139,224,1.27,m,asymmetric,,,,,4327.0,keV
222At,85,137,222,54,s,symmetric,,,,,5312.0741,keV
223At,85,138,223,50,s,symmetric,,,,,4683.0,keV
220At,85,135,220,3.71,m,symmetric,8.0,symmetric,46.375,m,6076.8447,keV
221At,85,136,221,2.3,m,symmetric,,,,,5627.8506,keV
218At,85,133,218,1.28,s,symmetric,99.95,symmetric,1.28064032016008,s,6876.0822,keV
219At,85,134,219,56,s,symmetric,93.6,symmetric,59.82905982905983,s,6341.8333,keV
216At,85,131,216,0.3,ms,symmetric,100.0,approximation,0.3,ms,7949.705,keV
217At,85,132,217,32.6,ms,symmetric,99.993,symmetric,32.602282159751184,ms,7201.3529,keV
225At,85,140,225,,,,,,,,3675.0,keV
226At,85,141,226,,,,,,,,3285.0,keV
229At,85,144,229,,,,,,,,,
227At,85,142,227,,,,,,,,2765.0,keV
228At,85,143,228,,,,,,,,2385.0,keV
190At,85,105,190,,,,,,,,,
214Rn,86,128,214,259,ns,symmetric,100.0,symmetric,259.0,ns,9208.4798,keV
213Rn,86,127,213,19.38,ms,symmetric,100.0,symmetric,19.38,ms,8245.15,keV
215Rn,86,129,215,2.3,us,symmetric,100.0,unreported,2.3,us,8838.5865,keV
210Rn,86,124,210,2.42,h,symmetric,96.0,symmetric,2.5208333333333335,h,6158.9884,keV
209Rn,86,123,209,28.7,m,symmetric,17.0,symmetric,168.8235294117647,m,6155.4331,keV
212Rn,86,126,212,23.9,m,symmetric,100.0,symmetric,23.9,m,6385.072,keV
211Rn,86,125,211,14.7,h,symmetric,27.4,symmetric,53.649635036496356,h,5965.4548,keV
206Rn,86,120,206,6.29,m,symmetric,62.0,symmetric,10.14516129032258,m,6383.7351,keV
208Rn,86,122,208,24.28,m,symmetric,62.0,symmetric,39.16129032258065,m,6260.7403,keV
207Rn,86,121,207,9.25,m,symmetric,21.0,symmetric,44.04761904761905,m,6251.1611,keV
226Rn,86,140,226,7.4,m,symmetric,,,,,3836.0102,keV
225Rn,86,139,225,4.66,m,symmetric,,,,,4335.4705,keV
224Rn,86,138,224,114,m,symmetric,,,,,4756.7202,keV
221Rn,86,135,221,25.7,m,symmetric,20.0,symmetric,128.5,m,6162.9859,keV
220Rn,86,134,220,55.6,s,symmetric,100.0,unreported,55.6,s,6404.7417,keV
223Rn,86,137,223,24.3,m,symmetric,,,,,5283.4618,keV
222Rn,86,136,222,3.82146,d,symmetric,100.0,unreported,3.82146,d,5590.3894,keV
217Rn,86,131,217,0.59,ms,symmetric,100.0,unreported,0.59,ms,7887.1691,keV
216Rn,86,130,216,29,us,symmetric,100.0,symmetric,29.0,us,8197.8049,keV
219Rn,86,133,219,3.96,s,symmetric,100.0,unreported,3.96,s,6946.1921,keV
218Rn,86,132,218,33.75,ms,symmetric,100.0,unreported,33.75,ms,7262.4699,keV
231Rn,86,145,231,,,,,,,,1844.0,keV
228Rn,86,142,228,65,s,symmetric,,,,,2908.0,keV
227Rn,86,141,227,20.8,s,symmetric,,,,,3382.0,keV
230Rn,86,144,230,,,,,,,,2196.0,keV
229Rn,86,143,229,12,s,asymmetric,,,,,2358.0,keV
195Rn,86,109,195,6,ms,asymmetric,100.0,approximation,6.0,ms,7694.0999,keV
194Rn,86,108,194,0.78,ms,symmetric,100.0,approximation,0.78,ms,7862.4159,keV
193Rn,86,107,193,1.15,ms,symmetric,100.0,approximation,1.15,ms,8039.9999,keV
203Rn,86,117,203,44,s,symmetric,66.0,symmetric,66.66666666666666,s,6629.8682,keV
202Rn,86,116,202,9.75,s,symmetric,78.0,symmetric,12.5,s,6773.8018,keV
205Rn,86,119,205,170,s,symmetric,25.0,symmetric,680.0,s,6386.486,keV
204Rn,86,118,204,74,s,symmetric,72.0,symmetric,102.77777777777779,s,6546.652,keV
199Rn,86,113,199,0.6,s,symmetric,100.0,approximation,0.6,s,7131.8922,keV
198Rn,86,112,198,65,ms,symmetric,90.0,symmetric,72.22222222222221,ms,7349.3816,keV
201Rn,86,115,201,7,s,symmetric,0.0,limit,,,6860.7498,keV
200Rn,86,114,200,1.03,s,symmetric,86.0,asymmetric,1.1976744186046513,s,7043.3611,keV
197Rn,86,111,197,55,ms,asymmetric,100.0,approximation,55.0,ms,7410.7546,keV
196Rn,86,110,196,4.4,ms,asymmetric,100.0,approximation,4.4,ms,7616.7366,keV
226Fr,87,139,226,49,s,symmetric,,,,,4142.5952,keV
225Fr,87,138,225,4,m,symmetric,,,,,4612.9568,keV
224Fr,87,137,224,3.33,m,symmetric,,,,,4947.95,keV
219Fr,87,132,219,22,ms,symmetric,100.0,unreported,22.0,ms,7448.6065,keV
218Fr,87,131,218,1.1,ms,symmetric,100.0,unreported,1.1,ms,8013.6758,keV
217Fr,87,130,217,22,us,symmetric,100.0,unreported,22.0,us,8469.2686,keV
223Fr,87,136,223,21.99,m,symmetric,0.006,symmetric,366499.99999999994,m,5561.3922,keV
222Fr,87,135,222,14.2,m,symmetric,,,,,5852.9689,keV
221Fr,87,134,221,4.801,m,symmetric,99.995,symmetric,4.8012400620031,m,6457.737,keV
220Fr,87,133,220,27.4,s,symmetric,99.65,symmetric,27.49623682890115,s,6800.7379,keV
216Fr,87,129,216,0.7,us,symmetric,100.0,symmetric,0.7,us,9174.255,keV
215Fr,87,128,215,89,ns,symmetric,100.0,unreported,89.0,ns,9540.4127,keV
214Fr,87,127,214,5.5,ms,symmetric,100.0,symmetric,5.5,ms,8588.8563,keV
213Fr,87,126,213,34.17,s,symmetric,99.45,symmetric,34.35897435897436,s,6904.6577,keV
208Fr,87,121,208,58.6,s,symmetric,89.0,symmetric,65.84269662921348,s,6785.4078,keV
207Fr,87,120,207,14.8,s,symmetric,95.0,symmetric,15.578947368421055,s,6888.6707,keV
212Fr,87,125,212,20.3,m,symmetric,43.0,symmetric,47.2093023255814,m,6528.987,keV
211Fr,87,124,211,3.1,m,symmetric,87.0,symmetric,3.563218390804598,m,6662.2514,keV
210Fr,87,123,210,3.18,m,symmetric,71.0,symmetric,4.47887323943662,m,6670.9639,keV
209Fr,87,122,209,50.5,s,symmetric,89.0,symmetric,56.741573033707866,s,6777.4589,keV
230Fr,87,143,230,19.1,s,symmetric,,,,,2402.0,keV
229Fr,87,142,229,50.2,s,symmetric,,,,,2944.0,keV
228Fr,87,141,228,38,s,symmetric,,,,,3248.2873,keV
227Fr,87,140,227,2.47,m,symmetric,,,,,3829.5211,keV
233Fr,87,146,233,0.9,s,symmetric,,,,,1606.0,keV
232Fr,87,145,232,5.5,s,symmetric,,,,,1768.0,keV
231Fr,87,144,231,17.6,s,symmetric,,,,,2225.0,keV
205Fr,87,118,205,3.9,s,symmetric,98.5,symmetric,3.9593908629441623,s,7054.7093,keV
204Fr,87,117,204,1.8,s,symmetric,92.0,symmetric,1.9565217391304348,s,7170.2862,keV
203Fr,87,116,203,550,ms,symmetric,100.0,approximation,550.0,ms,7274.8739,keV
202Fr,87,115,202,364,ms,symmetric,100.0,approximation,364.0,ms,7385.3686,keV
206Fr,87,119,206,16,s,approximation,88.4,symmetric,18.099547511312217,s,6923.3316,keV
197Fr,87,110,197,0.6,ms,asymmetric,100.0,approximation,0.6,ms,7896.3752,keV
201Fr,87,114,201,63,ms,symmetric,100.0,approximation,63.0,ms,7518.9119,keV
200Fr,87,113,200,50,ms,symmetric,100.0,approximation,50.0,ms,7621.8374,keV
199Fr,87,112,199,4.5,ms,asymmetric,100.0,approximation,4.5,ms,7816.7717,keV
198Fr,87,111,198,15,ms,symmetric,100.0,approximation,15.0,ms,7869.272,keV
225Ra,88,137,225,14.8,d,symmetric,,,,,5096.7734,keV
224Ra,88,136,224,3.6313,d,symmetric,100.0,unreported,3.6313,d,5788.9231,keV
227Ra,88,139,227,42.2,m,symmetric,,,,,4362.8095,keV
226Ra,88,138,226,1600,y,symmetric,100.0,unreported,1600.0,y,4870.7028,keV
219Ra,88,131,219,9,ms,symmetric,100.0,unreported,9.0,ms,8137.9268,keV
218Ra,88,130,218,25.91,us,symmetric,100.0,unreported,25.91,us,8540.3045,keV
221Ra,88,133,221,16,s,symmetric,100.0,unreported,16.0,s,6880.3948,keV
220Ra,88,132,220,18,ms,symmetric,100.0,unreported,18.0,ms,7593.8629,keV
223Ra,88,135,223,11.4352,d,symmetric,100.0,unreported,11.4352,d,5978.9916,keV
222Ra,88,134,222,33.6,s,symmetric,100.0,unreported,33.6,s,6677.8757,keV
214Ra,88,126,214,2.438,s,symmetric,99.94,symmetric,2.4394636782069243,s,7272.5886,keV
213Ra,88,125,213,2.73,m,symmetric,86.0,symmetric,3.1744186046511627,m,6861.6908,keV
216Ra,88,128,216,172,ns,symmetric,100.0,symmetric,172.0,ns,9525.7696,keV
215Ra,88,127,215,1.68,ms,symmetric,100.0,unreported,1.68,ms,8862.4086,keV
217Ra,88,129,217,1.59,us,symmetric,100.0,symmetric,1.59,us,9160.5687,keV
208Ra,88,120,208,1.11,s,symmetric,87.0,symmetric,1.2758620689655173,s,7273.1333,keV
210Ra,88,122,210,3.9,s,symmetric,100.0,approximation,3.9,s,7150.8409,keV
209Ra,88,121,209,4.8,s,symmetric,100.0,approximation,4.8,s,7143.0886,keV
212Ra,88,124,212,13,s,symmetric,100.0,approximation,13.0,s,7031.7107,keV
211Ra,88,123,211,13,s,symmetric,100.0,approximation,13.0,s,7041.6957,keV
235Ra,88,147,235,,,,,,,,2155.0,keV
228Ra,88,140,228,5.75,y,symmetric,,,,,4070.1799,keV
230Ra,88,142,230,93,m,symmetric,,,,,3344.1964,keV
229Ra,88,141,229,4,m,symmetric,,,,,3602.9038,keV
232Ra,88,144,232,4.2,m,symmetric,,,,,2828.5731,keV
231Ra,88,143,231,103.9,s,symmetric,,,,,2905.7377,keV
234Ra,88,146,234,30,s,symmetric,,,,,2336.0,keV
233Ra,88,145,233,30,s,symmetric,,,,,2546.746,keV
203Ra,88,115,203,31,ms,asymmetric,100.0,approximation,31.0,ms,7736.2613,keV
202Ra,88,114,202,3.8,ms,asymmetric,100.0,approximation,3.8,ms,7880.3036,keV
205Ra,88,117,205,215,ms,asymmetric,100.0,approximation,215.0,ms,7486.3498,keV
204Ra,88,116,204,58,ms,asymmetric,100.0,approximation,58.0,ms,7636.6358,keV
207Ra,88,119,207,1.4,s,symmetric,86.0,approximation,1.627906976744186,s,7273.1168,keV
206Ra,88,118,206,240,ms,symmetric,100.0,approximation,240.0,ms,7415.2578,keV
201Ra,88,113,201,8,ms,asymmetric,100.0,symmetric,8.0,ms,8001.5326,keV
208Ac,89,119,208,93,ms,asymmetric,100.0,approximation,93.0,ms,7728.6302,keV
207Ac,89,118,207,27,ms,asymmetric,100.0,approximation,27.0,ms,7844.8999,keV
206Ac,89,117,206,27,ms,symmetric,100.0,approximation,27.0,ms,7958.2999,keV
205Ac,89,116,205,7.7,ms,asymmetric,100.0,approximation,7.7,ms,8093.1999,keV
234Ac,89,145,234,44,s,symmetric,,,,,2929.5101,keV
233Ac,89,144,233,143,s,symmetric,,,,,3214.8682,keV
232Ac,89,143,232,119,s,symmetric,,,,,3345.286,keV
231Ac,89,142,231,7.5,m,symmetric,,,,,3655.4921,keV
230Ac,89,141,230,122,s,symmetric,,,,,3892.9309,keV
229Ac,89,140,229,62.7,m,symmetric,,,,,4444.4184,keV
237Ac,89,148,237,,,,,,,,2675.0,keV
236Ac,89,147,236,1.2,m,asymmetric,,,,,2723.2474,keV
235Ac,89,146,235,62,s,symmetric,,,,,2851.6694,keV
212Ac,89,123,212,895,ms,symmetric,100.0,approximation,895.0,ms,7539.6118,keV
211Ac,89,122,211,210,ms,symmetric,100.0,approximation,210.0,ms,7567.5897,keV
210Ac,89,121,210,344,ms,asymmetric,100.0,approximation,344.0,ms,7586.022,keV
209Ac,89,120,209,91,ms,asymmetric,100.0,approximation,91.0,ms,7729.7872,keV
218Ac,89,129,218,1.02,us,symmetric,100.0,unreported,1.02,us,9384.2563,keV
217Ac,89,128,217,69,ns,symmetric,100.0,unreported,69.0,ns,9831.6047,keV
216Ac,89,127,216,360,us,symmetric,100.0,symmetric,360.0,us,9240.8187,keV
215Ac,89,126,215,170,ms,symmetric,99.91,symmetric,170.15313782404164,ms,7745.9488,keV
214Ac,89,125,214,8.2,s,symmetric,89.0,limit,9.213483146067414,s,7351.864,keV
213Ac,89,124,213,738,ms,symmetric,100.0,approximation,738.0,ms,7498.2578,keV
223Ac,89,134,223,2.12,m,symmetric,99.0,symmetric,2.1414141414141414,m,6783.1999,keV
222Ac,89,133,222,4.9,s,symmetric,99.0,symmetric,4.94949494949495,s,7137.4413,keV
221Ac,89,132,221,52,ms,symmetric,100.0,unreported,52.0,ms,7791.4696,keV
220Ac,89,131,220,26.4,ms,symmetric,100.0,symmetric,26.4,ms,8347.8172,keV
219Ac,89,130,219,9.5,us,symmetric,100.0,unreported,9.5,us,8826.4999,keV
228Ac,89,139,228,6.15,h,symmetric,,,,,4721.1237,keV
227Ac,89,138,227,21.7725,y,symmetric,1.38,symmetric,1577.717391304348,y,5042.2697,keV
226Ac,89,137,226,29.37,h,symmetric,0.006,symmetric,489500.0,h,5506.1819,keV
225Ac,89,136,225,9.919,d,symmetric,100.0,unreported,9.919,d,5935.138,keV
224Ac,89,135,224,2.78,h,symmetric,9.1,asymmetric,30.549450549450547,h,6326.8999,keV
203Ac,89,114,203,,,,,,,,,
204Ac,89,115,204,,,,,,,,,
239Th,90,149,239,,,,,,,,2945.0,keV
238Th,90,148,238,9.4,m,symmetric,,,,,3169.0,keV
235Th,90,145,235,7.2,m,symmetric,,,,,3376.3498,keV
234Th,90,144,234,24.107,d,symmetric,,,,,3671.7365,keV
237Th,90,147,237,4.79,m,symmetric,,,,,3196.1195,keV
236Th,90,146,236,37.5,m,symmetric,,,,,3333.3314,keV
231Th,90,141,231,25.52,h,symmetric,,,,,4213.431,keV
230Th,90,140,230,75400,y,symmetric,100.0,unreported,75400.0,y,4770.0202,keV
233Th,90,143,233,21.83,m,symmetric,,,,,3744.7638,keV
232Th,90,142,232,14068419841,y,symmetric,100.0,symmetric,14068419841.0,y,4081.5999,keV
228Th,90,138,228,1.9116,y,symmetric,100.0,symmetric,1.9116,y,5520.1511,keV
227Th,90,137,227,18.6936,d,symmetric,100.0,unreported,18.6936,d,6146.5981,keV
229Th,90,139,229,7907.5,y,symmetric,100.0,unreported,7907.5,y,5167.5578,keV
224Th,90,134,224,1.04,s,symmetric,100.0,unreported,1.04,s,7298.5734,keV
223Th,90,133,223,0.6,s,symmetric,100.0,unreported,0.6,s,7566.6333,keV
226Th,90,136,226,30.69,m,symmetric,100.0,unreported,30.69,m,6452.5282,keV
225Th,90,135,225,8.72,m,symmetric,90.0,approximation,9.68888888888889,m,6921.3999,keV
220Th,90,130,220,10.2,us,symmetric,100.0,unreported,10.2,us,8973.1556,keV
222Th,90,132,222,1.97,ms,symmetric,100.0,unreported,1.97,ms,8132.5665,keV
221Th,90,131,221,1.73,ms,symmetric,100.0,unreported,1.73,ms,8625.474,keV
217Th,90,127,217,254,us,symmetric,100.0,unreported,254.0,us,9435.3069,keV
216Th,90,126,216,26,ms,symmetric,100.0,symmetric,26.0,ms,8072.3838,keV
219Th,90,129,219,1.02,us,symmetric,100.0,unreported,1.02,us,9505.8694,keV
218Th,90,128,218,121,ns,symmetric,100.0,unreported,121.0,ns,9849.0906,keV
213Th,90,123,213,146,ms,symmetric,100.0,approximation,146.0,ms,7836.9514,keV
212Th,90,122,212,31.7,ms,symmetric,100.0,approximation,31.7,ms,7958.0367,keV
215Th,90,125,215,1.4,s,symmetric,100.0,unreported,1.4,s,7664.6478,keV
214Th,90,124,214,100,ms,symmetric,100.0,symmetric,100.0,ms,7827.1772,keV
211Th,90,121,211,37,ms,asymmetric,100.0,approximation,37.0,ms,7937.4924,keV
210Th,90,120,210,15.7,ms,symmetric,100.0,approximation,15.7,ms,8068.9919,keV
209Th,90,119,209,2.5,ms,asymmetric,100.0,approximation,2.5,ms,8166.0,keV
208Th,90,118,208,3.1,ms,symmetric,100.0,approximation,3.1,ms,8202.0281,keV
207Th,90,117,207,,,,,,,,,
211Pa,91,120,211,3.8,ms,asymmetric,100.0,approximation,3.8,ms,8481.0817,keV
215Pa,91,124,215,14,ms,symmetric,100.0,unreported,14.0,ms,8236.1363,keV
214Pa,91,123,214,17,ms,symmetric,100.0,symmetric,17.0,ms,8270.8999,keV
213Pa,91,122,213,5.3,ms,asymmetric,100.0,symmetric,5.3,ms,8384.3916,keV
212Pa,91,121,212,5,ms,asymmetric,100.0,approximation,5.0,ms,8410.7525,keV
219Pa,91,128,219,55,ns,symmetric,100.0,unreported,55.0,ns,10127.7574,keV
218Pa,91,127,218,109,us,symmetric,100.0,unreported,109.0,us,9791.3805,keV
217Pa,91,126,217,3.7,ms,symmetric,100.0,unreported,3.7,ms,8488.8028,keV
216Pa,91,125,216,118,ms,symmetric,100.0,approximation,118.0,ms,8099.2828,keV
220Pa,91,129,220,0.89,us,symmetric,100.0,unreported,0.89,us,9703.745,keV
222Pa,91,131,222,3.89,ms,symmetric,100.0,unreported,3.89,ms,8788.5999,keV
221Pa,91,130,221,5.9,us,asymmetric,100.0,unreported,5.9,us,9247.6999,keV
226Pa,91,135,226,1.8,m,symmetric,74.0,symmetric,2.4324324324324325,m,6986.8864,keV
225Pa,91,134,225,1.7,s,symmetric,100.0,unreported,1.7,s,7400.6757,keV
224Pa,91,133,224,0.85,s,symmetric,100.0,unreported,0.85,s,7693.6799,keV
223Pa,91,132,223,5.3,ms,symmetric,100.0,unreported,5.3,ms,8343.1452,keV
230Pa,91,139,230,17.4,d,symmetric,0.0035,symmetric,497142.85714285704,d,5439.4263,keV
229Pa,91,138,229,1.55,d,symmetric,0.51,symmetric,303.921568627451,d,5834.6274,keV
228Pa,91,137,228,19.8,h,symmetric,1.85,symmetric,1070.2702702702702,h,6264.5352,keV
227Pa,91,136,227,38.3,m,symmetric,85.0,symmetric,45.05882352941176,m,6580.3999,keV
233Pa,91,142,233,26.975,d,symmetric,,,,,4374.5584,keV
232Pa,91,141,232,1.31,d,symmetric,,,,,4626.9789,keV
231Pa,91,140,231,32739,y,symmetric,100.0,symmetric,32739.0,y,5149.9071,keV
237Pa,91,146,237,8.7,m,symmetric,,,,,3794.6703,keV
236Pa,91,145,236,9.1,m,symmetric,,,,,3754.616,keV
235Pa,91,144,235,24.4,m,symmetric,,,,,4101.1318,keV
234Pa,91,143,234,6.671,h,symmetric,,,,,4075.5678,keV
240Pa,91,149,240,,,,,,,,3364.0,keV
239Pa,91,148,239,1.8,h,symmetric,,,,,3555.0,keV
238Pa,91,147,238,2.3,m,symmetric,,,,,3627.9328,keV
241Pa,91,150,241,,,,,,,,3295.0,keV
215U,92,123,215,0.7,ms,asymmetric,100.0,approximation,0.7,ms,8587.9999,keV
222U,92,130,222,4.7,us,symmetric,100.0,approximation,4.7,us,9481.171,keV
224U,92,132,224,396,us,symmetric,100.0,unreported,396.0,us,8628.2368,keV
223U,92,131,223,62,us,asymmetric,100.0,unreported,62.0,us,9157.5821,keV
226U,92,134,226,267,ms,symmetric,100.0,unreported,267.0,ms,7700.8428,keV
225U,92,133,225,61,ms,symmetric,100.0,unreported,61.0,ms,8007.1594,keV
217U,92,125,217,16,ms,asymmetric,100.0,approximation,16.0,ms,8426.0,keV
216U,92,124,216,4.5,ms,asymmetric,100.0,approximation,4.5,ms,8530.6272,keV
219U,92,127,219,60,us,symmetric,100.0,unreported,60.0,us,9949.6039,keV
218U,92,126,218,0.63,ms,asymmetric,100.0,unreported,0.63,ms,8774.8074,keV
221U,92,129,221,0.66,us,symmetric,100.0,approximation,0.66,us,9889.2999,keV
220U,92,128,220,,,,,,,,10290.0,keV
233U,92,141,233,159189,y,symmetric,100.0,symmetric,159189.0,y,4908.6781,keV
232U,92,140,232,68.9,y,symmetric,100.0,symmetric,68.9,y,5413.63,keV
235U,92,143,235,703974287,y,symmetric,100.0,symmetric,703974287.0,y,4678.0559,keV
234U,92,142,234,245500,y,symmetric,100.0,symmetric,245500.0,y,4857.5319,keV
237U,92,145,237,6.752,d,symmetric,,,,,4233.5748,keV
236U,92,144,236,23430000,y,symmetric,100.0,symmetric,23430000.0,y,4572.9562,keV
228U,92,136,228,9.1,m,symmetric,95.0,limit,9.578947368421053,m,6799.5044,keV
227U,92,135,227,1.1,m,symmetric,100.0,unreported,1.1,m,7234.7157,keV
230U,92,138,230,20.23,d,symmetric,100.0,symmetric,20.23,d,5992.4518,keV
229U,92,137,229,57.8,m,symmetric,20.0,approximation,288.99999999999994,m,6475.5112,keV
231U,92,139,231,4.2,d,symmetric,0.004,symmetric,105000.0,d,5576.2769,keV
242U,92,150,242,16.8,m,symmetric,,,,,3670.0,keV
243U,92,151,243,,,,,,,,3555.0,keV
239U,92,147,239,23.45,m,symmetric,,,,,4129.9984,keV
238U,92,146,238,4463230100,y,symmetric,100.0,symmetric,4463230100.0,y,4269.8581,keV
241U,92,149,241,,,,,,,,3817.0,keV
240U,92,148,240,14.1,h,symmetric,,,,,4035.3789,keV
214U,92,122,214,,,,,,,,,
222Np,93,129,222,380,ns,asymmetric,100.0,symmetric,380.0,ns,10200.157,keV
221Np,93,128,221,,,,,,,,10431.0,keV
220Np,93,127,220,25,us,asymmetric,100.0,approximation,25.0,us,10226.3078,keV
219Np,93,126,219,150,us,asymmetric,100.0,approximation,150.0,us,9207.4978,keV
226Np,93,133,226,37,ms,symmetric,100.0,unreported,37.0,ms,8327.5999,keV
225Np,93,132,225,3.7,ms,asymmetric,100.0,approximation,3.7,ms,8818.2451,keV
224Np,93,131,224,38,us,asymmetric,100.0,approximation,38.0,us,9328.9344,keV
223Np,93,130,223,2.15,us,asymmetric,100.0,approximation,2.15,us,9650.4434,keV
242Np,93,149,242,2.2,m,symmetric,,,,,4097.9171,keV
241Np,93,148,241,13.9,m,symmetric,,,,,4362.5759,keV
240Np,93,147,240,61.9,m,symmetric,,,,,4557.358,keV
239Np,93,146,239,2.3558,d,symmetric,,,,,4597.1881,keV
238Np,93,145,238,2.0993,d,symmetric,,,,,4690.8116,keV
245Np,93,152,245,,,,,,,,3685.0,keV
244Np,93,151,244,2.29,m,symmetric,,,,,3805.0,keV
243Np,93,150,243,1.85,m,symmetric,,,,,4044.0,keV
232Np,93,139,232,14.7,m,symmetric,,,,,6011.0,keV
231Np,93,138,231,48.8,m,symmetric,2.0,symmetric,2440.0,m,6368.3999,keV
230Np,93,137,230,4.63,m,symmetric,3.0,limit,154.33333333333334,m,6778.0999,keV
229Np,93,136,229,4,m,symmetric,68.0,symmetric,5.88235294117647,m,7019.8216,keV
228Np,93,135,228,61.4,s,symmetric,40.0,symmetric,153.5,s,7538.0,keV
227Np,93,134,227,0.51,s,symmetric,100.0,unreported,0.51,s,7816.4881,keV
